0, map_preloadres()
59,  pos=7Œª÷√ÕÊº“ø™ º∂œœﬂ±£ª§
37237, i=:5    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 5 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =–Ï ¢ ,tab_infor[i].kill_num =3 , tab_infor[i].death_num =0 ,tab_infor[i].use_id =65389560 ,tab_infor[i].disconnectiontime= 0
37237, i=:6    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 6 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =Ω™Œ¨ ,tab_infor[i].kill_num =5 , tab_infor[i].death_num =4 ,tab_infor[i].use_id =123853835 ,tab_infor[i].disconnectiontime= 0
37237, i=:7    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 7 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =Œﬁ ,tab_infor[i].kill_num =0 , tab_infor[i].death_num =0 ,tab_infor[i].use_id =124352701 ,tab_infor[i].disconnectiontime= 0
37237, i=:8    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 8 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =¬Ì·∑ ,tab_infor[i].kill_num =2 , tab_infor[i].death_num =1 ,tab_infor[i].use_id =48045739 ,tab_infor[i].disconnectiontime= 0
37237, i=:9    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 9 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =µÀ÷• ,tab_infor[i].kill_num =1 , tab_infor[i].death_num =2 ,tab_infor[i].use_id =109175625 ,tab_infor[i].disconnectiontime= 0
37237, i=:10    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 10 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =∏ﬂÀ≥ ,tab_infor[i].kill_num =7 , tab_infor[i].death_num =1 ,tab_infor[i].use_id =123800449 ,tab_infor[i].disconnectiontime= 0
37237, i=:11    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 11 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =Œ∫—” ,tab_infor[i].kill_num =3 , tab_infor[i].death_num =3 ,tab_infor[i].use_id =91768531 ,tab_infor[i].disconnectiontime= 0
37237, i=:12    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 12 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =∑®’˝ ,tab_infor[i].kill_num =0 , tab_infor[i].death_num =4 ,tab_infor[i].use_id =97422889 ,tab_infor[i].disconnectiontime= 0
37237, i=:13    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 13 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =÷‹Ã© ,tab_infor[i].kill_num =1 , tab_infor[i].death_num =5 ,tab_infor[i].use_id =124672075 ,tab_infor[i].disconnectiontime= 0
37237, i=:14    ,tab_infor[i].isfree:1 ,tab_infor[i].control= 14 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =ıı≤ı ,tab_infor[i].kill_num =0 , tab_infor[i].death_num =2 ,tab_infor[i].use_id =0 ,tab_infor[i].disconnectiontime= 0
37237, i=:15    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 15 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =ÀÔ≤ﬂ ,tab_infor[i].kill_num =1 , tab_infor[i].death_num =5 ,tab_infor[i].use_id =113513941 ,tab_infor[i].disconnectiontime= 0
37237, i=:16    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 16 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =µÀ∞¨ ,tab_infor[i].kill_num =2 , tab_infor[i].death_num =5 ,tab_infor[i].use_id =39178856 ,tab_infor[i].disconnectiontime= 0
37237, i=:17    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 17 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =’Áºß ,tab_infor[i].kill_num =3 , tab_infor[i].death_num =3 ,tab_infor[i].use_id =36336608 ,tab_infor[i].disconnectiontime= 0
37237, i=:18    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 18 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =∏ ƒ˛ ,tab_infor[i].kill_num =1 , tab_infor[i].death_num =2 ,tab_infor[i].use_id =120757753 ,tab_infor[i].disconnectiontime= 0
37237, i=:19    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 19 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =’≈∑… ,tab_infor[i].kill_num =3 , tab_infor[i].death_num =1 ,tab_infor[i].use_id =9542802 ,tab_infor[i].disconnectiontime= 0
37237, i=:20    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 20 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =≤‹–› ,tab_infor[i].kill_num =0 , tab_infor[i].death_num =4 ,tab_infor[i].use_id =84947556 ,tab_infor[i].disconnectiontime= 0
37237, free_local = 1 _____________________
37237,  XJ_LG_Event num=1
39333,  pos=14Œª÷√ÕÊº“º”»Î”Œœ∑
39333, i=:1    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 1 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =ÀÔ»® ,tab_infor[i].kill_num =4 , tab_infor[i].death_num =2 ,tab_infor[i].use_id =123700657 ,tab_infor[i].disconnectiontime= 0
39333, i=:2    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 2 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =≤‹ÿß ,tab_infor[i].kill_num =3 , tab_infor[i].death_num =2 ,tab_infor[i].use_id =124207810 ,tab_infor[i].disconnectiontime= 0
39333, i=:3    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 3 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =’‘‘∆ ,tab_infor[i].kill_num =6 , tab_infor[i].death_num =2 ,tab_infor[i].use_id =123884619 ,tab_infor[i].disconnectiontime= 0
39333, i=:4    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 4 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =Ã´ ∑¥» ,tab_infor[i].kill_num =3 , tab_infor[i].death_num =1 ,tab_infor[i].use_id =113679260 ,tab_infor[i].disconnectiontime= 0
39333, i=:5    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 5 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =–Ï ¢ ,tab_infor[i].kill_num =4 , tab_infor[i].death_num =0 ,tab_infor[i].use_id =65389560 ,tab_infor[i].disconnectiontime= 0
39333, i=:6    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 6 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =Ω™Œ¨ ,tab_infor[i].kill_num =5 , tab_infor[i].death_num =4 ,tab_infor[i].use_id =123853835 ,tab_infor[i].disconnectiontime= 0
39333, i=:7    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 7 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =Œﬁ ,tab_infor[i].kill_num =0 , tab_infor[i].death_num =0 ,tab_infor[i].use_id =124352701 ,tab_infor[i].disconnectiontime= 0
39333, i=:8    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 8 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =¬Ì·∑ ,tab_infor[i].kill_num =3 , tab_infor[i].death_num =1 ,tab_infor[i].use_id =48045739 ,tab_infor[i].disconnectiontime= 0
39333, i=:9    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 9 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =µÀ÷• ,tab_infor[i].kill_num =1 , tab_infor[i].death_num =3 ,tab_infor[i].use_id =109175625 ,tab_infor[i].disconnectiontime= 0
39333, i=:10    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 10 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =∏ﬂÀ≥ ,tab_infor[i].kill_num =7 , tab_infor[i].death_num =2 ,tab_infor[i].use_id =123800449 ,tab_infor[i].disconnectiontime= 0
39333, i=:11    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 11 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =Œ∫—” ,tab_infor[i].kill_num =5 , tab_infor[i].death_num =3 ,tab_infor[i].use_id =91768531 ,tab_infor[i].disconnectiontime= 0
39333, i=:12    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 12 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =∑®’˝ ,tab_infor[i].kill_num =0 , tab_infor[i].death_num =5 ,tab_infor[i].use_id =97422889 ,tab_infor[i].disconnectiontime= 0
